id,civ,developer_id,date,spend
105,blobs,4865806674030,164,916
106,blobs,835305956949,356,683
107,blobs,2907413794216,357,668
108,humans,3001660908249,178,170
109,monsters,172279596824,20,827
110,monsters,1550541235420,51,825
111,blobs,8415762729046,325,889
112,monsters,5763532843507,277,912
113,blobs,4006115207838,76,622
114,humans,2214586652977,364,46
115,humans,8055765612683,46,817
116,humans,141926915149,164,157
117,monsters,3629791357345,276,158
118,blobs,6131028068308,97,42
119,humans,2316735365037,194,773
120,blobs,2616703298845,144,22
121,blobs,6842744172605,154,318
122,blobs,4370265826695,7,267
123,humans,7374371080502,36,633
124,humans,6979728052896,251,797
125,monsters,4654746462935,12,734
126,blobs,826437661216,252,189
127,blobs,7845768270887,174,666
128,monsters,6427551339840,99,918
129,monsters,1180262979441,110,527
130,humans,1643486663599,154,315
131,blobs,3471304698314,141,849
132,monsters,4444001038696,258,337
133,humans,5676053314794,280,781
134,monsters,4679221059215,16,105
135,humans,5532522931322,172,851
136,monsters,3667917844347,323,883
137,humans,8928581779192,334,723
138,humans,8202046572964,71,875
139,blobs,9339797167747,104,195
140,monsters,8816828986230,122,742
141,humans,3870636022276,203,189
142,humans,3978550752835,136,134
143,humans,7315067680582,184,717
144,blobs,7593112193266,36,587
145,blobs,343924854090,143,240
146,blobs,644032537443,297,250
147,blobs,2124683246887,306,895
148,humans,405311324803,210,979
149,humans,6546256486604,328,173
150,blobs,5987879321304,285,11
151,monsters,1860895126573,359,110
152,blobs,4298397425573,99,980
153,humans,3458264642602,99,727
154,blobs,7376090856884,259,296
155,blobs,5630469912849,77,608
156,humans,2365595754570,84,310
157,humans,3355182577869,215,877
158,humans,5935633755877,297,526
159,monsters,4978088405638,274,569
160,monsters,1522256639298,146,800
161,monsters,3112634941543,59,514
162,monsters,9520957183730,159,116
163,blobs,1614061197549,174,40
164,blobs,9752047784637,277,325
165,blobs,1744718875443,351,176
166,humans,3677801330408,276,173
167,monsters,2908863865062,56,191
168,humans,3975674231880,178,62
169,monsters,2873906618200,5,961
170,blobs,760840488189,321,171
171,humans,2261477730396,46,621
172,humans,5743018702527,361,631
173,blobs,7309387314460,334,849
174,monsters,8211532606998,218,898
175,monsters,4115497124016,316,804
176,monsters,131883880081,192,455
177,blobs,2156047683293,125,739
178,monsters,9364133632519,95,431
179,blobs,6593572610423,53,712
180,blobs,305251115410,269,868
181,blobs,5860847554077,77,383
182,monsters,1477587874080,307,896
183,humans,1763634442855,362,699
184,monsters,5070761377844,293,993
185,humans,7960036334959,0,541
186,blobs,202994225008,334,926
187,humans,8483361565297,252,832
188,monsters,1428700731216,101,869
189,humans,7533334616760,11,776
190,blobs,4493666630385,175,799
191,blobs,22949310328,276,123
192,monsters,540278724804,235,601
193,monsters,2947609620082,317,662
194,monsters,9516795409192,293,967
195,blobs,8614725684739,308,884
196,humans,6699736452623,148,972
197,blobs,5811205364260,254,522
198,monsters,1531067272279,356,383
199,monsters,4553268991785,187,229
200,blobs,1150612205916,288,450
201,humans,773927523354,69,494
202,humans,702666245537,147,324
203,humans,5456454576238,152,868
204,blobs,9184640183251,93,552
205,humans,9229087157649,143,625
206,humans,2818840506034,68,995
207,humans,4221151551461,139,541
208,humans,2992058881906,236,234
209,monsters,9161406987129,209,866
210,monsters,164068024740,114,371
211,monsters,8839320420034,91,125
212,blobs,7335393228992,341,822
213,humans,7874619894671,198,483
214,humans,9249524751514,168,754
215,blobs,5132025375763,170,732
216,blobs,5778652039556,39,256
217,humans,9630767857108,89,965
218,blobs,831617753445,138,284
219,blobs,3196192427119,256,607
220,blobs,4576851475165,167,293
221,blobs,6324637784543,360,204
222,blobs,180462236950,214,673
223,humans,7545230549828,4,567
224,blobs,5808074998634,180,778
225,blobs,1612868897576,61,677
226,blobs,6603743583607,346,385
227,humans,8316094285622,87,194
228,blobs,9984501221100,160,60
229,monsters,6057158679717,191,367
230,monsters,2100836924715,245,821
231,blobs,2209011839874,255,436
232,monsters,8474611456879,94,120
233,monsters,7066150204487,292,436
234,monsters,981980116978,103,512
235,blobs,8826196478415,143,238
236,blobs,2469167227966,168,763
237,humans,6633054389295,334,211
238,monsters,446085724024,345,923
239,blobs,1638235720029,43,427
240,humans,6101102503820,227,848
241,monsters,2428412636553,86,740
242,blobs,9300482440424,183,791
243,humans,756082266137,44,896
244,humans,1280609125638,336,976
245,monsters,853892697421,260,430
246,blobs,8443079980506,292,672
247,humans,3351411561468,100,739
248,blobs,1880681528939,352,942
249,monsters,473063160555,8,32
250,monsters,2008642603116,288,395
251,humans,7064320558684,125,413
252,monsters,9953859004551,36,73
253,monsters,4487786895416,135,764
254,humans,3065955379749,236,782
255,humans,6361333410646,231,82
256,monsters,6433542239497,344,567
257,monsters,4946109343482,45,924
258,monsters,2459654063865,337,68
259,humans,5821176220567,290,589
260,humans,4125614093083,180,616
261,monsters,2232340180142,322,184
262,monsters,7068548638809,334,537
263,blobs,2381922296964,34,67
264,blobs,6400468137577,189,589
265,humans,1877376482165,131,698
266,monsters,63237420052,146,406
267,humans,7738342954283,336,4
268,humans,3032199670019,17,645
269,monsters,3717897038080,259,195
270,blobs,2183172165438,308,914
271,blobs,9559851346194,76,53
272,humans,619194750462,62,996
273,blobs,2365767521675,246,678
274,blobs,4852813069949,228,274
275,monsters,3007072019550,160,637
276,monsters,5562543302861,153,12
277,humans,5045861685990,259,218
278,blobs,6368929138027,215,187
279,humans,797487653026,45,764
280,monsters,4232730033965,109,506
281,blobs,5136701624854,17,51
282,blobs,9055051354527,347,225
283,blobs,2816961919245,312,967
284,monsters,7743461083888,168,446
285,humans,3119322243668,283,986
286,blobs,5394672164446,264,119
287,blobs,295814911044,332,314
288,blobs,1752500494852,59,271
289,blobs,7888598620465,102,738
290,humans,796204656906,170,56
291,humans,8454770770885,20,674
292,humans,4053800095312,243,818
293,humans,1499012312105,100,929
294,blobs,2417528191707,141,757
295,blobs,9517612034992,22,922
296,humans,1212556307098,101,327
297,humans,7382103961101,299,797
298,blobs,1054232536859,49,316
299,blobs,1643130914156,320,59
300,blobs,9702414731881,301,89
301,humans,855806245743,362,861
302,humans,3938814345854,136,20
303,humans,2246810436733,80,66
304,humans,5009145374562,272,521
305,monsters,4123215809459,59,708
306,monsters,529601965158,357,835
307,humans,7320850081641,296,398
308,blobs,3414286693069,353,356
309,humans,8681186789358,76,576
310,blobs,6090560561476,44,780
311,humans,2707049406552,221,356
312,humans,6725250184050,138,563
313,blobs,5197495842841,96,415
314,blobs,2021331529135,180,467
315,humans,3009058781890,43,873
316,humans,205514371209,140,292
317,monsters,4649659201302,182,894
318,humans,1670433188253,322,320
319,blobs,784650027144,248,203
320,humans,2099610680821,248,111
321,monsters,9204536731659,252,86
322,humans,9923736990878,250,607
323,humans,5482603317731,76,649
324,humans,2503325856466,49,152
325,blobs,9325138718625,318,670
326,monsters,9703044571557,340,79
327,humans,7295913226275,9,386
328,monsters,4586069188549,168,776
329,humans,3495354439075,189,382
330,blobs,2228148927008,117,180
331,monsters,357588344968,144,220
332,monsters,3237313916407,288,79
333,blobs,9153633675341,305,401
334,monsters,1870437838194,6,704
335,humans,8524513403431,354,479
336,humans,57454360698,98,68
337,blobs,7482504673065,201,438
338,blobs,7882861158777,206,877
339,humans,8777581534631,141,691
340,blobs,5582465236521,280,698
341,humans,1877309860517,46,862
342,monsters,3463181520732,221,447
343,humans,5654648267405,188,365
344,blobs,5358080429309,315,184
345,monsters,4766974051092,25,438
346,blobs,8953805054774,16,256
347,monsters,566080216008,322,992
348,monsters,814850704200,217,37
349,humans,4429353974489,239,637
350,monsters,6649812314860,175,71
351,monsters,18585484578,171,432
352,monsters,5437642356660,63,575
353,blobs,6772897635662,272,476
354,humans,9690015009792,353,869
355,blobs,4933910398785,65,685
356,monsters,5524192927454,22,106
357,blobs,5770772610921,37,497
358,monsters,2274796369118,346,314
359,humans,4713410147211,92,85
360,blobs,6719525767228,69,601
361,blobs,3714940085566,186,745
362,humans,2771513300463,137,483
363,monsters,6018631722562,112,682
364,blobs,3224273186166,112,901
365,monsters,8007206326883,256,773
366,blobs,1895204019867,184,955
367,monsters,3757766923220,100,357
368,blobs,7348020665900,259,407
369,monsters,6492479442021,342,201
370,humans,9814967994192,50,715
371,blobs,6755298935634,290,421
372,blobs,9371123222686,360,420
373,monsters,2349513529957,74,795
374,blobs,3902584320668,136,629
375,monsters,6639863173293,303,507
376,monsters,9473708354446,314,18
377,monsters,2472102571157,205,456
378,humans,2231450650486,159,86
379,humans,8418472988308,300,506
380,humans,1828116887217,198,583
381,monsters,9790384277864,126,119
382,monsters,2885360212984,188,611
383,humans,1257828008221,273,69
384,humans,1514919067039,168,963
385,monsters,5601337956862,240,717
386,blobs,9389083170071,135,302
387,humans,4057301496387,117,783
388,blobs,1078541724648,194,59
389,blobs,9638527972240,106,665
390,monsters,2939144509362,283,821
391,humans,427133521529,110,434
392,monsters,7587252222469,194,202
393,blobs,4828738246605,223,117
394,blobs,9768077449485,243,752
395,blobs,7614416683007,100,408
396,humans,3004015910636,236,266
397,blobs,7039989808754,56,165
398,blobs,4205424608212,9,41
399,blobs,7754804235890,335,278
400,monsters,6131522919233,28,514
401,blobs,8766194875216,196,570
402,blobs,5750796113776,106,354
403,blobs,8805256795280,78,923
404,monsters,2252217791991,122,38
405,monsters,4775874482259,38,60
406,humans,966273551548,105,249
407,blobs,4641241092909,279,469
408,humans,2250242538822,225,456
409,monsters,1566725930613,288,688
410,humans,4435887295356,284,973
411,humans,7714841951777,82,686
412,blobs,5935195380089,125,461
413,humans,9861855188660,28,1
414,monsters,5491399026174,226,691
415,humans,2481465952677,45,60
416,humans,2451540417717,362,6
417,blobs,4735885833501,37,696
418,blobs,4910434855578,96,904
419,humans,5738548496511,182,36
420,humans,7864699247029,241,55
421,monsters,5354371458314,338,776
422,blobs,7465474481335,19,575
423,humans,8812130066986,254,710
424,humans,7856594574746,51,274
425,humans,4151437562229,62,830
426,blobs,8181955168380,329,905
427,humans,2751700546881,99,446
428,blobs,1374545246984,247,603
429,monsters,1294276820315,252,279
430,humans,6524054967953,199,38
431,humans,7916275078387,245,523
432,humans,2200550621952,125,659
433,blobs,5641415981009,303,705
434,monsters,7452748721939,299,438
435,humans,120129933726,192,593
436,monsters,9699303760963,139,312
437,monsters,9865104234170,339,747
438,monsters,5716536023032,43,891
439,blobs,824566427128,230,290
440,humans,8154635168742,286,361
441,monsters,9860010451718,346,181
442,monsters,8900757357693,66,306
443,monsters,9598476157553,113,495
444,blobs,7262488123804,319,171
445,monsters,2840358707607,145,512
446,humans,2164477084162,62,298
447,blobs,3012122673446,156,188
448,monsters,6645562856661,160,927
449,humans,2288041053741,331,890
450,humans,9417577072526,170,964
451,humans,7058473929536,227,95
452,humans,1650672482093,84,627
453,blobs,5204877792775,204,283
454,humans,8626652470090,148,114
455,blobs,2485913877141,90,196
456,humans,3676893401,242,783
457,blobs,6281084960226,345,625
458,monsters,5087351456701,362,806
459,humans,4802845161376,118,140
460,blobs,66302165613,164,755
461,blobs,7951642767503,255,79
462,blobs,3270578103954,240,327
463,humans,4148360565774,251,389
464,blobs,8339800547604,314,996
465,monsters,9354612613276,58,806
466,monsters,1860555549519,280,336
467,monsters,8872771634575,328,782
468,monsters,1129516629790,295,190
469,monsters,4587033919827,304,398
470,monsters,5575279150190,141,25
471,blobs,4796829141332,211,905
472,monsters,7888354775519,183,784
473,humans,5393803469076,93,247
474,monsters,6084731942350,233,959
475,humans,5525174682071,71,819
476,blobs,1065231235636,347,562
477,humans,8413963818694,308,73
478,monsters,7056305872316,263,732
479,blobs,456533227362,257,875
480,humans,2629993810380,176,781
481,monsters,1655371288853,143,935
482,humans,976383662758,184,659
483,humans,4794872756527,292,944
484,monsters,2789333347255,306,767
485,monsters,4491053466170,88,253
486,humans,1519488488735,183,159
487,blobs,2144029470519,241,376
488,humans,7800447796795,310,305
489,humans,7081544300294,118,592
490,monsters,6300855606983,59,48
491,monsters,3601535156729,124,174
492,humans,4084452939731,245,249
493,humans,7229951304661,151,966
494,blobs,3224539594781,362,488
495,monsters,6568336692073,108,549
496,monsters,16372795788,213,977
497,blobs,2397498307938,347,377
498,blobs,2000192672130,64,51
499,blobs,8441381029218,139,552
500,monsters,4296450811342,295,354
501,monsters,6314735437558,352,813
502,monsters,5922126408093,9,175
503,monsters,5317867123225,28,220
504,monsters,7325965673750,187,999
505,monsters,7558770041432,124,316
506,monsters,5041390037645,41,237
507,monsters,150839989517,63,759
508,humans,3815023558511,191,682
509,humans,7907198987910,141,743
510,humans,2879578823378,106,891
511,monsters,2952300819002,305,906
512,monsters,1969579978310,80,62
513,blobs,6413291706416,70,954
514,monsters,5024711795401,261,12
515,humans,3491465419873,8,378
516,monsters,1765347328200,269,443
517,monsters,4645259996416,296,409
518,monsters,2742492972639,338,388
519,blobs,5937484102195,294,512
520,humans,1378849386659,247,558
521,humans,352839875723,215,51
522,monsters,4510791002204,342,69
523,humans,6069106570890,217,15
524,blobs,4142220968763,257,384
525,humans,3119797853803,129,788
526,humans,3121106330058,131,771
527,monsters,8518717047232,303,850
528,monsters,9332756833393,87,333
529,humans,3172556563664,73,618
530,humans,9918530379876,102,514
531,humans,8572848234628,152,105
532,monsters,2688049684175,207,582
533,humans,9366312348668,27,118
534,humans,3812070168726,231,179
535,humans,8436571338056,131,112
536,monsters,5350424561265,238,549
537,humans,1198814746333,63,535
538,monsters,2583999866265,240,756
539,monsters,2497078228547,74,737
540,monsters,7179198117148,325,314
541,blobs,5661453375488,320,930
542,monsters,5527903653301,305,733
543,blobs,4167548032929,330,987
544,monsters,7232496250893,53,654
545,humans,6509677397709,52,68
546,monsters,5057562866777,278,601
547,monsters,5302655285520,161,398
548,humans,7953722474189,147,215
549,monsters,3135508782360,358,3
550,humans,8326830664145,221,5
551,blobs,5990234522953,136,947
552,humans,9566699325191,165,984
553,humans,1822963774838,58,316
554,monsters,4295550341347,194,953
555,blobs,9483030246533,116,281
556,humans,6615445459649,118,130
557,humans,3865900584334,157,489
558,monsters,3946721341846,14,18
559,blobs,2723655895292,315,712
560,humans,6291129912545,256,688
561,humans,6488751285546,168,240
562,humans,7776554565297,261,945
563,humans,4059620902783,87,173
564,monsters,8146319704687,305,227
565,blobs,7571755698899,363,602
566,humans,8780601476690,154,677
567,monsters,8241230040530,271,303
568,monsters,6978923220245,298,837
569,monsters,2979552895148,206,708
570,monsters,1533861596234,132,605
571,monsters,2036873692794,46,983
572,blobs,4484811991740,298,862
573,blobs,2871861224369,211,3
574,humans,4679885277422,63,591
575,monsters,1974494918062,25,430
576,blobs,7418653644202,277,921
577,monsters,5424241546616,134,496
578,monsters,9283296374876,179,739
579,humans,4829897798913,115,456
580,monsters,5706531086910,74,436
581,blobs,5101463705471,300,359
582,monsters,2591684819966,267,532
583,blobs,7650104560175,125,506
584,monsters,773320705084,312,725
585,monsters,9468124796862,300,236
586,blobs,7125052301344,28,480
587,blobs,8942085560732,302,621
588,blobs,1897827198702,34,446
589,blobs,1457117578185,351,298
590,humans,1011222628362,321,389
591,humans,1643132531075,65,341
592,humans,7823683813768,169,571
593,blobs,3882019122975,4,508
594,monsters,8048458864204,263,724
595,blobs,6668313376827,61,30
596,monsters,806750962245,180,346
597,blobs,1309687722806,94,236
598,humans,4679378288896,140,162
599,humans,3620466564367,178,456
600,blobs,6575986919277,262,633
601,humans,4000036528242,118,485
602,monsters,2617191721867,139,181
603,monsters,1402702008071,25,941
604,monsters,2072831543693,247,455
605,blobs,5245889837451,145,790
606,monsters,9655574412670,271,380
607,humans,295094663662,224,915
608,humans,966789628097,164,361
609,humans,2642511337899,89,1000
610,blobs,5480335757837,299,884
611,blobs,3772148065634,191,540
612,humans,5868340920107,248,55
613,blobs,2840374633250,303,908
614,humans,8246177656968,117,46
615,blobs,5125469028367,281,430
616,blobs,4294744234324,131,661
617,humans,2322606822993,86,107
618,monsters,5434342835329,281,772
619,monsters,2818873152654,311,785
620,blobs,5090098152250,0,389
621,monsters,2493831725134,34,423
622,monsters,8632401771437,24,91
623,blobs,6525206464263,212,170
624,monsters,7489469440174,11,822
625,monsters,7447155356621,2,810
626,monsters,9395178417416,198,971
627,humans,431408812420,90,576
628,humans,269311359087,11,103
629,blobs,9345762947105,127,618
630,monsters,5635552279209,266,289
631,monsters,8440909745197,242,61
632,monsters,3401053597145,123,565
633,monsters,2301038908535,199,367
634,monsters,49268614713,124,572
635,monsters,4551710335891,272,117
636,blobs,2772705745825,108,576
637,humans,428975457632,228,201
638,humans,3718147466915,146,200
639,blobs,3615195697830,255,142
640,blobs,3478394895744,341,469
641,humans,6494216640695,165,282
642,blobs,566764102130,110,968
643,monsters,3375163409986,199,872
644,monsters,7768105264762,18,427
645,monsters,2697506650887,184,691
646,blobs,9516595417225,362,226
647,monsters,2884243192066,238,392
648,humans,154990426273,112,122
649,humans,1900474408870,334,349
650,humans,1597778196319,68,922
651,monsters,9041707249338,106,938
652,humans,903443049346,37,19
653,humans,5387311730325,286,60
654,humans,519348492321,71,146
655,monsters,1691695267524,311,47
656,humans,2370570934286,239,722
657,blobs,2617942872827,289,339
658,blobs,8757584227691,89,311
659,humans,4695980776734,349,84
660,blobs,644602029246,29,311
661,blobs,5492159930046,182,855
662,blobs,3887269304566,173,687
663,monsters,870766674372,105,157
664,blobs,5579172099515,173,336
665,humans,1841258133666,117,425
666,monsters,70964945394,135,836
667,monsters,4756207554095,126,355
668,blobs,1662966135344,69,313
669,monsters,3737733263202,70,150
670,blobs,6250959744574,223,418
671,monsters,4929001106521,166,684
672,blobs,8720984427501,12,197
673,monsters,7962773209950,18,690
674,blobs,1198925721118,25,459
675,blobs,6917466356189,193,746
676,blobs,7057918840061,327,857
677,humans,3699939108487,111,441
678,monsters,5717747436824,185,272
679,humans,8570172623731,124,875
680,humans,4205600867806,27,520
681,monsters,6960054423990,85,565
682,humans,3198537300021,308,700
683,humans,4539955609438,83,78
684,monsters,9189197134950,226,504
685,blobs,244368329531,176,242
686,blobs,1101305180418,163,811
687,humans,948617235984,32,634
688,humans,837890653081,292,433
689,humans,4853732814099,307,941
690,monsters,5665094269716,260,226
691,humans,7916670857630,269,122
692,blobs,7458765255352,98,372
693,blobs,8946419625395,340,443
694,blobs,6735889468120,144,331
695,blobs,9403749505407,198,736
696,blobs,1745982396613,221,116
697,humans,3196270997556,161,718
698,blobs,2239241740407,226,925
699,blobs,5658904518388,207,853
700,humans,4701259787170,330,353
701,blobs,4321082504732,142,859
702,blobs,1580255590756,93,318
703,humans,6933536248189,40,487
704,humans,1375911296374,209,510
705,monsters,1103714881697,46,340
706,humans,7017621903518,251,786
707,blobs,9738611745477,101,367
708,blobs,6374581349468,99,856
709,blobs,3566332996575,150,206
710,monsters,4478281140557,307,906
711,humans,754442076196,319,289
712,monsters,3866905658317,273,53
713,monsters,346528221544,252,71
714,humans,6828557200014,239,373
715,monsters,5416134837200,30,805
716,blobs,5929819338849,164,728
717,blobs,6548243432544,119,733
718,monsters,3087381235213,112,1
719,monsters,1423185957676,140,401
720,humans,4520167538455,123,365
721,monsters,317776994569,207,882
722,humans,8392900409964,282,660
723,humans,4852593972714,52,191
724,monsters,4297247645255,304,771
725,blobs,7001122952540,74,417
726,humans,2724875447045,200,307
727,humans,7630082085827,149,425
728,humans,2455080093570,242,826
729,blobs,2277350055304,123,264
730,monsters,6692255830327,177,821
731,humans,3486298008845,151,243
732,humans,7790142120511,23,115
733,blobs,392431368138,269,817
734,blobs,2781927646625,204,898
735,blobs,1703649283505,58,291
736,blobs,312694445069,364,606
737,humans,8302730394750,114,217
738,humans,668529728161,60,849
739,monsters,4223938548043,110,970
740,blobs,2877379916689,360,400
741,monsters,7585087165161,175,980
742,blobs,6951964051937,100,753
743,blobs,8760233343882,283,466
744,monsters,1351876873809,147,859
745,monsters,6405958815270,15,319
746,monsters,580214202911,124,668
747,humans,9165631614779,106,961
748,monsters,8880819022614,295,974
749,monsters,8285624499396,214,445
750,humans,4543360704793,360,934
751,monsters,4658564754485,322,236
752,monsters,389376295048,70,580
753,humans,6579867621392,173,298
754,humans,3393987600319,224,269
755,humans,2495258095678,4,348
756,humans,3006123423550,299,123
757,humans,9456659796454,27,100
758,monsters,5660494991326,272,647
759,monsters,3303263300847,358,788
760,monsters,8415594879281,28,385
761,monsters,5575490076753,102,919
762,humans,1816645372754,314,721
763,blobs,5701072869623,77,713
764,blobs,632896387705,223,306
765,blobs,1283075844220,159,596
766,monsters,589476155851,325,1000
767,monsters,4424487585956,264,17
768,humans,3864817807049,361,854
769,humans,9993621216463,89,642
770,humans,6505755531397,28,31
771,monsters,6552732412941,7,336
772,monsters,5578402745597,286,735
773,humans,7912320501799,56,946
774,humans,9495851149867,150,272
775,monsters,1674429779850,270,547
776,humans,7854150576465,94,322
777,blobs,7953974077742,16,454
778,humans,6712265737223,237,219
779,blobs,6045047311078,123,641
780,blobs,9779536732611,131,625
781,blobs,2776606615428,350,983
782,blobs,7719399490516,177,800
783,blobs,8091146353815,149,426
784,blobs,7430064021115,279,808
785,humans,2642990099668,48,63
786,blobs,6324835854257,182,602
787,blobs,1464284832013,190,976
788,blobs,6483489559263,228,977
789,humans,4168993165421,135,817
790,humans,4807068029925,195,316
791,monsters,8149255956464,346,938
792,monsters,5063317493550,203,485
793,monsters,9748682041379,237,30
794,monsters,9563049141965,275,163
795,monsters,8116471928138,256,206
796,monsters,862587572696,145,509
797,humans,9387528084109,279,852
798,blobs,382233422788,346,222
799,monsters,3968336276606,276,33
800,humans,2284794315423,182,78
801,monsters,6773122608124,34,724
802,humans,2698531086847,257,746
803,blobs,5872057011457,22,215
804,blobs,8221192953581,189,793
805,blobs,9460685936329,333,442
806,blobs,3352279217228,273,805
807,monsters,469222356249,346,404
808,monsters,8964100478558,341,776
809,humans,8837012345318,196,970
810,monsters,825774978523,320,591
811,blobs,3163599289342,363,739
812,blobs,1650196325889,106,564
813,blobs,728170807166,44,277
814,monsters,74085683393,11,45
815,monsters,1723230831015,237,97
816,humans,2948607658419,10,212
817,blobs,2528556521100,202,113
818,blobs,5557341801375,46,210
819,blobs,8282036163278,208,36
820,monsters,9577977974510,134,440
821,monsters,6056959454004,191,204
822,monsters,8162130290710,141,24
823,monsters,4178347041556,344,90
824,blobs,1434945367080,11,316
825,humans,5126696701782,115,53
826,monsters,453927258583,136,728
827,blobs,9752517747686,215,1000
828,monsters,3925358641062,16,103
829,humans,6985072946830,258,834
830,monsters,9549912012024,327,481
831,monsters,5318717093140,151,455
832,blobs,2394314826844,210,635
833,monsters,5055289220822,362,9
834,monsters,9302740246728,34,597
835,monsters,9560279505147,10,10
836,humans,9030437260803,247,945
837,blobs,9606034716111,62,480
838,blobs,6159293098736,55,247
839,monsters,2434434586150,273,873
840,humans,6752170637652,195,279
841,blobs,4598499119980,107,357
842,blobs,9126251709383,169,767
843,blobs,607942841844,125,367
844,blobs,9334169854276,70,273
845,blobs,9808225462922,201,949
846,blobs,500469883892,27,73
847,blobs,6766908423081,60,504
848,monsters,8145676435226,147,832
849,blobs,3322405638349,322,387
850,humans,9677150903127,189,441
851,blobs,4316434128535,105,262
852,humans,5988988862039,66,438
853,humans,4981231897389,350,335
854,blobs,8667367579845,228,353
855,humans,4347472454192,75,570
856,monsters,4032024227414,353,636
857,monsters,9580248293614,229,217
858,blobs,2903990825277,126,257
859,humans,1979715146995,348,970
860,humans,4532473912559,184,82
861,monsters,9203170547888,38,435
862,humans,7285985921530,277,742
863,humans,871288185673,169,261
864,monsters,4201230708967,210,297
865,humans,3853353415622,101,493
866,humans,1078835096142,69,682
867,monsters,9306352846363,305,716
868,humans,8287913962903,5,770
869,monsters,2457862130775,37,385
870,blobs,1139891039207,120,590
871,blobs,2530048333069,96,412
872,humans,1289150116895,182,542
873,humans,481650639080,174,792
874,humans,6571424356159,79,786
875,blobs,4630271337084,112,902
876,blobs,3548360773500,180,940
877,blobs,174537111676,274,826
878,monsters,8955863501982,26,73
879,monsters,6619127211796,240,308
880,monsters,1357751629830,113,78
881,humans,7356283173132,187,288
882,monsters,3666617781802,302,173
883,monsters,8931229206056,345,360
884,monsters,5539961099739,7,130
885,blobs,3123827996025,87,805
886,monsters,7694780759294,352,938
887,monsters,5154921577416,35,635
888,blobs,7049153333251,67,245
889,monsters,1279958104486,157,861
890,blobs,2046362819503,26,636
891,monsters,3013807710680,125,262
892,blobs,4217226803771,152,614
893,humans,9214206103909,243,763
894,blobs,5736479989341,325,872
895,blobs,4285154258850,37,558
896,humans,7295197838216,294,664
897,blobs,2165383028139,114,852
898,blobs,5476306842728,317,497
